,Resumen,texto_limpio,pred_baseline
10,"We present a low cost signal amplifier for ElectroOculoGram registers (EOG) signals coming from eye movement. The prototyping equipment was built in a common impressed circuit (single card), composed by following blocks: a) instrumentation amplifier, b) low-pass filter (cutoff frequency 50",we present a low cost signal amplifier for electrooculogram registers eog signals coming from eye movement the prototyping equipment was built in a common impressed circuit single card composed by following blocks a instrumentation amplifier b lowpass filter cutoff frequency,cs.SY
11,This report discusses the following: relation to larger effort. slab geometry; linear dissipative trapped electron modes (DTEM); motivation; local analysis; radially resolved calculations; ion dynamics; electron dynamics and dispersion relation; linear model for DTEM; nonlinear model for DTEM; and nonlinear results,this report discusses the following relation to larger effort slab geometry linear dissipative trapped electron modes dtem motivation local analysis radially resolved calculations ion dynamics electron dynamics and dispersion relation linear model for dtem nonlinear model for dtem and nonlinear results,cs.NA
12,This paper deals with a feedback control strategy for chaos suppression. The proposed strategy is an input-output control scheme which comprises an uncertainty estimator and an asymptotic linearizing feedback. The developed control scheme allows chaos suppression in spite of modeling errors and parametric variations.,this paper deals with a feedback control strategy for chaos suppression the proposed strategy is an inputoutput control scheme which comprises an uncertainty estimator and an asymptotic linearizing feedback the developed control scheme allows chaos suppression in spite of modeling errors and parametric variations,cs.SY
13,"The present invention relates to a composition for modulat ing tumor cell dissemination, in particular metastatic cancer cells. In particular, the invention relates to an agent for modulating metastatic tumor cell dissemination for use in the treatment and/or prevention of a metastatic cancer (Continued) Nov. 27, 2012",the present invention relates to a composition for modulat ing tumor cell dissemination in particular metastatic cancer cells in particular the invention relates to an agent for modulating metastatic tumor cell dissemination for use in the treatment andor prevention of a metastatic cancer continued nov,cs.AI
14,"This paper presents the combined LIPN-UAM participation in the WASSA 2017 Shared Task on Emotion Intensity. In particular, the paper provides some highlights on the Tweetaneuse system that was presented to the shared task. We combined lexicon-based features with sentence-level vector representations to implement a random forest regressor.",this paper presents the combined lipnuam participation in the wassa shared task on emotion intensity in particular the paper provides some highlights on the tweetaneuse system that was presented to the shared task we combined lexiconbased features with sentencelevel vector representations to implement a random forest regressor,cs.CL
15,"Inventory data of Mexico City's street trees were studied using classical statistical arboricultural and ecological statistical approaches. Multivariate techniques were applied to both. Results did not differ substantially and were complementary. It was possible to reduce inventory data and to group species, boroughs, blocks, and variables.",inventory data of mexico citys street trees were studied using classical statistical arboricultural and ecological statistical approaches multivariate techniques were applied to both results did not differ substantially and were complementary it was possible to reduce inventory data and to group species boroughs blocks and variables,cs.LG
16,Let S be a closed surface with Euler genus γ (S). A quadrangulation G of a closed surface S is irreducible if it does not have any contractible face. Nakamoto and Ota gave a linear upper bound for the number n of vertices of G in terms of γ (S). By extending Nakamoto and Ota’s method we improve their bound to n≤ 159.5 γ (S)− 46 for any closed surface S.,let s be a closed surface with euler genus s a quadrangulation g of a closed surface s is irreducible if it does not have any contractible face nakamoto and ota gave a linear upper bound for the number n of vertices of g in terms of s by extending nakamoto and otas method we improve their bound to n s for any closed surface s,cs.NA
17,"We give a characterization of intercalate matrices as an algebraic variety over a finite field. We also prove Yuzvinsky’s conjecture on the minimum number of colors in an intercalate matrix for matrices with 5 or less rows. Finally, we obtain a set of 37 cases which, if established, would verify Yuzvinsky’s conjecture as true for matrices up to order 32× 32.",we give a characterization of intercalate matrices as an algebraic variety over a finite field we also prove yuzvinskys conjecture on the minimum number of colors in an intercalate matrix for matrices with or less rows finally we obtain a set of cases which if established would verify yuzvinskys conjecture as true for matrices up to order,cs.IT
18,"In this chapter we present a flexible and configurable application for mining large XML document collections. This work is centered on the process of extracting document features related to structure and content. From this process, an attribute frequency matrix is generated and, depending on the cluster algorithm, it is transformed and/or used to obtain similarity measures.",in this chapter we present a flexible and configurable application for mining large xml document collections this work is centered on the process of extracting document features related to structure and content from this process an attribute frequency matrix is generated and depending on the cluster algorithm it is transformed andor used to obtain similarity measures,cs.DS
19,"We introduce an integer linear programming formulation for the Traveling Repairman Problem with unit time windows, which produces approximate solutions within a factor of 4 to the optimal solution. We analyze empirically the required time to solve this formulation using a state-of-the-art MIP solver. Finally, we discuss an extension to our approach to windows of arbitrary length.",we introduce an integer linear programming formulation for the traveling repairman problem with unit time windows which produces approximate solutions within a factor of to the optimal solution we analyze empirically the required time to solve this formulation using a stateoftheart mip solver finally we discuss an extension to our approach to windows of arbitrary length,cs.DS
20,Low-aspect-ratio stellarator configurations can be realized by using torsatron windings. Plasmas with aspect ratios in the range of 3.5 to 5 can be confined by these low-aspect-ratio torsatron configurations. Stable operation at high beta should be possible in these devices if a vertical field coil system is adequately designed to avoid breaking of the magnetic surfaces at finite beta.,lowaspectratio stellarator configurations can be realized by using torsatron windings plasmas with aspect ratios in the range of to can be confined by these lowaspectratio torsatron configurations stable operation at high beta should be possible in these devices if a vertical field coil system is adequately designed to avoid breaking of the magnetic surfaces at finite beta,cs.SY
21,"Initial operation of ATF showed narrow pressure profiles and second stability behavior at lower beta than expected and revealed uncompensated dipoles in the HF winding leads that have since been corrected. Energy confinement times obtained with neutral beam injection and electron cyclotron heating roughly follow the LHD scaling. However, a plasma collapse is observed with NBI 6 refs., 9 figs.",initial operation of atf showed narrow pressure profiles and second stability behavior at lower beta than expected and revealed uncompensated dipoles in the hf winding leads that have since been corrected energy confinement times obtained with neutral beam injection and electron cyclotron heating roughly follow the lhd scaling however a plasma collapse is observed with nbi refs figs,cs.NA
22,"In this paper we present an ant algorithm, which is a multi-agent system based on the parallel search idea for the robust coloring problem, which is a generalization of the graph coloring problem. We introduce a new possible application. We show the results obtained and the average rigidity of colorings improves the last known rigidity of colorings obtained with a simulated annealing algorithm.",in this paper we present an ant algorithm which is a multiagent system based on the parallel search idea for the robust coloring problem which is a generalization of the graph coloring problem we introduce a new possible application we show the results obtained and the average rigidity of colorings improves the last known rigidity of colorings obtained with a simulated annealing algorithm,cs.AI
23,This work presents a methodology for XML mining centered on the process of extracting document features related to structure and content. This information is used to obtain similarity measures and to cluster XML documents. A conceptual framework is proposed to design an application with the primary goal of implementing a modular and easily configurable tool for mining large XML document collections.,this work presents a methodology for xml mining centered on the process of extracting document features related to structure and content this information is used to obtain similarity measures and to cluster xml documents a conceptual framework is proposed to design an application with the primary goal of implementing a modular and easily configurable tool for mining large xml document collections,cs.AI
24,"Low-aspect-ratio stellarator configurations can be realized by using torsatron winding. Plasmas with aspect ratios in the range of 3.5 to 5 can be confined by these Compact Torsatron configurations. Stable operation at high BETA should be possible in these devices, if a vertical field coil system is adequately designed to avoid breaking of the magnetic surfaces at finite BETA. 17 refs., 21 figs., 1 tab.",lowaspectratio stellarator configurations can be realized by using torsatron winding plasmas with aspect ratios in the range of to can be confined by these compact torsatron configurations stable operation at high beta should be possible in these devices if a vertical field coil system is adequately designed to avoid breaking of the magnetic surfaces at finite beta refs figs tab,cs.SY
25,"The performance of many mathematical and computational tasks highly depends on the implementation of polynomial arithmetic. Motivated by improving the efficiency of the computation of boolean Gröbner bases, we present a cache-aware representation of sparse boolean polynomials. We also present extremely high-performance implementations of the polynomial operations required in classical Gröbner basis algorithms.",the performance of many mathematical and computational tasks highly depends on the implementation of polynomial arithmetic motivated by improving the efficiency of the computation of boolean grbner bases we present a cacheaware representation of sparse boolean polynomials we also present extremely highperformance implementations of the polynomial operations required in classical grbner basis algorithms,cs.DS
26,"The perception of color by individuals, and their repercussions at sensory and psychological levels, are indisputable; the colors are capable of provoking or changing moods and this is well known by architects, decorators, publicists, designers and other creators who, according to the unique attributes of each color, manage to impact the viewers or users, creating feelings and environments, dressing products, etc",the perception of color by individuals and their repercussions at sensory and psychological levels are indisputable the colors are capable of provoking or changing moods and this is well known by architects decorators publicists designers and other creators who according to the unique attributes of each color manage to impact the viewers or users creating feelings and environments dressing products etc,cs.AI
27,"We present ΛCDM N-body cosmological simulations in the framework of of a static general scalar-tensor theory of gravity. Due to the influence of the non-minimally coupled scalar field, the gravitational potential is modified by a Yukawa type term, yielding a new structure formation dynamics. We present some preliminary results and, in particular, we compute the density and velocity profiles of the most massive group.",we present cdm nbody cosmological simulations in the framework of of a static general scalartensor theory of gravity due to the influence of the nonminimally coupled scalar field the gravitational potential is modified by a yukawa type term yielding a new structure formation dynamics we present some preliminary results and in particular we compute the density and velocity profiles of the most massive group,cs.NA
28,"The 2D discrete shearlet transform for a given function f in L 2 (ℝ 2) has been defined through dilation, shear and translation parameters in such a way that the continuity of f at (0, 0) can be studied by means of the convergence of the discrete shearlet transform as the dilation parameter converges to zero. Computer experiments illustrate this property by detecting edges in images that correspond to discontinuities.",the d discrete shearlet transform for a given function f in l has been defined through dilation shear and translation parameters in such a way that the continuity of f at can be studied by means of the convergence of the discrete shearlet transform as the dilation parameter converges to zero computer experiments illustrate this property by detecting edges in images that correspond to discontinuities,cs.NA
29,"In this paper behavior during the teaching–learning process is modeled by means of a fuzzy cognitive map. The elements used to model such behavior are part of a generic didactic model, which emphasizes the use of cognitive and operative strategies as part of the student–tutor interaction. Examples of possible initial scenarios for the teaching–learning process are developed, along with the results provided by the model.",in this paper behavior during the teachinglearning process is modeled by means of a fuzzy cognitive map the elements used to model such behavior are part of a generic didactic model which emphasizes the use of cognitive and operative strategies as part of the studenttutor interaction examples of possible initial scenarios for the teachinglearning process are developed along with the results provided by the model,cs.AI
30,"In this paper we describe how evolutionary computation can be used to automatically design artificial neural networks (ANNs) and associative memories (AMs). In the case of ANNs, Particle Swarm Optimization (PSO), Differential Evolution (DE), and Artificial Bee Colony (ABC) algorithms are used, while Genetic Programming is adopted for AMs. The derived ANNs and AMs are tested with several examples of well-known databases.",in this paper we describe how evolutionary computation can be used to automatically design artificial neural networks anns and associative memories ams in the case of anns particle swarm optimization pso differential evolution de and artificial bee colony abc algorithms are used while genetic programming is adopted for ams the derived anns and ams are tested with several examples of wellknown databases,cs.AI
31,"The configuration flexibility provided to the TJ-II Heliac by the helical hard core permits a significant change in the stability properties of the plasma. In this numerical analysis of full three-dimensional equilibria it is found that, by exploiting the flexibility of the machine, the stability beta limit given by the Mercier criterion can be varied almost continuously over values of average beta from zero to more than 6%.",the configuration flexibility provided to the tjii heliac by the helical hard core permits a significant change in the stability properties of the plasma in this numerical analysis of full threedimensional equilibria it is found that by exploiting the flexibility of the machine the stability beta limit given by the mercier criterion can be varied almost continuously over values of average beta from zero to more than,cs.NA
32,"A hybrid algorithm which combines mathematical programming techniques (Kruskal's algorithm and the strategy of maintaining arc consistency to solve constraint satisfaction problem"" CSP"") and heuristic methods (musical composition method and DSATUR) to resolve the robust graph coloring problem (RGCP) is proposed in this paper. Experimental result shows that this algorithm is better than the other algorithms presented on the literature.",a hybrid algorithm which combines mathematical programming techniques kruskals algorithm and the strategy of maintaining arc consistency to solve constraint satisfaction problem csp and heuristic methods musical composition method and dsatur to resolve the robust graph coloring problem rgcp is proposed in this paper experimental result shows that this algorithm is better than the other algorithms presented on the literature,cs.DS
33,"The definition of Industrial Design as we know it today arises in 1919 together with the Bauhaus, this research shows a historical analysis of the way in which various definitions and conceptions of the discipline are developed as such, in it we seek to clarify the concept from the historical point of view, going through the current definition and making an approach to its projection by entering into topics of artificial intelligence.",the definition of industrial design as we know it today arises in together with the bauhaus this research shows a historical analysis of the way in which various definitions and conceptions of the discipline are developed as such in it we seek to clarify the concept from the historical point of view going through the current definition and making an approach to its projection by entering into topics of artificial intelligence,cs.AI
34,"The mixed postman problem consists of finding a minimum cost tour of a connected mixed graph traversing all its vertices, edges, and arcs at least once. We prove in two different ways that the linear programming relaxations of two well-known integer programming formulations of this problem are equivalent. We also give some properties of the extreme points of the polyhedra defined by one of these relaxations and its linear programming dual.",the mixed postman problem consists of finding a minimum cost tour of a connected mixed graph traversing all its vertices edges and arcs at least once we prove in two different ways that the linear programming relaxations of two wellknown integer programming formulations of this problem are equivalent we also give some properties of the extreme points of the polyhedra defined by one of these relaxations and its linear programming dual,cs.DS
35,"this work consists of the analysis of the student's thinking model integrated into an Intelligent Tutor System (ITS), taking into account the elements of the style of thinking (way of thinking)(motivation and locus of control) linked to the learning style and emotional states of student. Also, ad hoc exercises developed each style of thinking, making the ITS more empathetic to the student, supporting them to facilitate their learning process",this work consists of the analysis of the students thinking model integrated into an intelligent tutor system its taking into account the elements of the style of thinking way of thinkingmotivation and locus of control linked to the learning style and emotional states of student also ad hoc exercises developed each style of thinking making the its more empathetic to the student supporting them to facilitate their learning process,cs.AI
36,"ADVANCES IN THE THEORY OF ION-TEMPERATURE-GRADIENT-DRIVEN TURBULENCE. The theory of ion-temperature-gradient-driven instabilities and turbulence has been extended to investigate the influence of higher radial eigenmodes, sheared toroidal rotation, flat density profiles, and low ion collisionality regimes. Predictions of the theory, which includes both analysis and numerical simulation, for present and future generation tokamaks are discussed.",advances in the theory of iontemperaturegradientdriven turbulence the theory of iontemperaturegradientdriven instabilities and turbulence has been extended to investigate the influence of higher radial eigenmodes sheared toroidal rotation flat density profiles and low ion collisionality regimes predictions of the theory which includes both analysis and numerical simulation for present and future generation tokamaks are discussed,cs.NA
37,"We review the parameterization of orthogonal wavelet based filters of length 4, 6, 8, and 10, and present their inverse formulas, which means to determine the parameter values from filter coefficients. Experimental results support the validity of these inverse formulas when parameters are restricted to for practical applications, such as image processing where parameters are optimized to maximize the number of negligible wavelet coefficients.",we review the parameterization of orthogonal wavelet based filters of length and and present their inverse formulas which means to determine the parameter values from filter coefficients experimental results support the validity of these inverse formulas when parameters are restricted to for practical applications such as image processing where parameters are optimized to maximize the number of negligible wavelet coefficients,cs.NA
38,An implicit controller for the stabilization of molten steel levels in a vacuum-based continuous caster is proposed. The controller is synthesized from the feedback linearizing approach. The output error is designed to be asymptotically stable and the values of the control inputs are numerically determined using the Newton-Rapson iterative procedure. The dynamic performance of the closed-loop system is analyzed by means of numerical simulations.,an implicit controller for the stabilization of molten steel levels in a vacuumbased continuous caster is proposed the controller is synthesized from the feedback linearizing approach the output error is designed to be asymptotically stable and the values of the control inputs are numerically determined using the newtonrapson iterative procedure the dynamic performance of the closedloop system is analyzed by means of numerical simulations,cs.SY
39,In this paper we present the development and implementation of one module of the virtual tutor for Computer Engineering at the Universidad Autónoma Metropolitana in México City. This subsystem is actually in evaluation and its main purpose is help the students to select the subjects they can register in each quarter. This recomendation is based on the critical route of the curriculum and in the number of credits that the student desires to register.,in this paper we present the development and implementation of one module of the virtual tutor for computer engineering at the universidad autnoma metropolitana in mxico city this subsystem is actually in evaluation and its main purpose is help the students to select the subjects they can register in each quarter this recomendation is based on the critical route of the curriculum and in the number of credits that the student desires to register,cs.AI
40,"We study bar formation in galactic disks as a consequence of the collision of two spiral galaxies under the influence of a potential which is obtained from the Newtonian limit of a scalar–tensor theory of gravity. We found that dynamical effects depend on parameters (α, λ) of the theory. In particular, we observe that the bar is shorter for weaker tidal perturbations, which in turn corresponds to smaller values of λ used in our numerical experiments.",we study bar formation in galactic disks as a consequence of the collision of two spiral galaxies under the influence of a potential which is obtained from the newtonian limit of a scalartensor theory of gravity we found that dynamical effects depend on parameters of the theory in particular we observe that the bar is shorter for weaker tidal perturbations which in turn corresponds to smaller values of used in our numerical experiments,cs.NA
41,"The plowing with precedence problem is a variant of the windy postman problem, where a plow is required to clean streets after a heavy snowfall with traversing costs depending on the direction of traversal as well as whether a street has been previously plowed or not. We prove that this problem can be solved in polynomial time under natural cost structures. We also propose heuristics for this problem, which compare favorably with the state of the art.",the plowing with precedence problem is a variant of the windy postman problem where a plow is required to clean streets after a heavy snowfall with traversing costs depending on the direction of traversal as well as whether a street has been previously plowed or not we prove that this problem can be solved in polynomial time under natural cost structures we also propose heuristics for this problem which compare favorably with the state of the art,cs.DS
42,"We present digital tables for the radiative terms that appear in the energy and momentum equations used to simulate the accretion onto supermassive black holes (SMBHs) in the centers of galaxies. Cooling and heating rates and radiative accelerations are calculated with two different Spectral Energy Distributions (SEDs). One SED is composed of an accretion disk+[X-ray]-power law, while the other is made of an accretion disk+[Corona]-bremsstrahlung with",we present digital tables for the radiative terms that appear in the energy and momentum equations used to simulate the accretion onto supermassive black holes smbhs in the centers of galaxies cooling and heating rates and radiative accelerations are calculated with two different spectral energy distributions seds one sed is composed of an accretion diskxraypower law while the other is made of an accretion diskcoronabremsstrahlung with,cs.NA
43,"Given a strongly connected, mixed graph with costs on its edges and arcs, the mixed postman problem is to find a minimum cost closed walk traversing its edges and arcs at least once. This problem is NP-hard even on planar graphs but is solvable in polynomial time on series–parallel graphs. We give O (n m 2) dynamic programming algorithms for the mixed postman problem and other similar problems on series–parallel graphs with n vertices and m edges and arcs.",given a strongly connected mixed graph with costs on its edges and arcs the mixed postman problem is to find a minimum cost closed walk traversing its edges and arcs at least once this problem is nphard even on planar graphs but is solvable in polynomial time on seriesparallel graphs we give o n m dynamic programming algorithms for the mixed postman problem and other similar problems on seriesparallel graphs with n vertices and m edges and arcs,cs.DS
44,"The helical hard core in the four period TJ-II heliac permits access to a variety of magnetic configurations with very different magnetohydrodynamic properties. Here, a particular set of shearless configurations is presented with similar rotational transform at the magnetic axis, approximately equals 1.20, and slightly different values of the magnetic well that exhibit self-stabilization behavior to Mercier modes characteristic of a second stability regime.",the helical hard core in the four period tjii heliac permits access to a variety of magnetic configurations with very different magnetohydrodynamic properties here a particular set of shearless configurations is presented with similar rotational transform at the magnetic axis approximately equals and slightly different values of the magnetic well that exhibit selfstabilization behavior to mercier modes characteristic of a second stability regime,cs.NA
45,"The equilibrium, Mercier stability, and neoclassical transport (in the 1/{nu} regime) properties of two {ell} = 2 torsatrons, the Advanced Toroidal Facility (ATF) and URAGAN-2M, are compared. ATF and URAGAN-2M have 12 and 4 field periods, respectively. The two torsatrons have similar arrays of coils. Dipole and quadrupole magnetic fields can be used to improve transport at zero beta, but increasing beta tends to undo the optimization. 18 refs., 19 figs., 2 tabs.",the equilibrium mercier stability and neoclassical transport in the nu regime properties of two ell torsatrons the advanced toroidal facility atf and uraganm are compared atf and uraganm have and field periods respectively the two torsatrons have similar arrays of coils dipole and quadrupole magnetic fields can be used to improve transport at zero beta but increasing beta tends to undo the optimization refs figs tabs,cs.SY
46,"With the arrival of technology and computers; in the early 90's, the investigation of interactive learn-ing through visualization began, using graphs. The case study refers to the visualization of abstract concepts. It is proposed the use of events of daily life, in order to develop a virtual micro-world. The latter will be part of the didactic elements that will part of an intelligent tutoring system. The domain focuses on the concepts of structured programming.",with the arrival of technology and computers in the early s the investigation of interactive learning through visualization began using graphs the case study refers to the visualization of abstract concepts it is proposed the use of events of daily life in order to develop a virtual microworld the latter will be part of the didactic elements that will part of an intelligent tutoring system the domain focuses on the concepts of structured programming,cs.AI
47,"We consider a variation of the classical Erdős–Szekeres problems on the existence and number of convex k-gons and k-holes (empty k-gons) in a set of n points in the plane. Allowing the k-gons to be non-convex, we show bounds and structural results on maximizing and minimizing their numbers. Most noteworthy, for any k and sufficiently large n, we give a quadratic lower bound for the number of k-holes, and show that this number is maximized by sets in convex position.",we consider a variation of the classical erdsszekeres problems on the existence and number of convex kgons and kholes empty kgons in a set of n points in the plane allowing the kgons to be nonconvex we show bounds and structural results on maximizing and minimizing their numbers most noteworthy for any k and sufficiently large n we give a quadratic lower bound for the number of kholes and show that this number is maximized by sets in convex position,cs.DS
48,"A simple methodology to determine the extent of workable regions of disturbance variables, i.e., feed temperature, inlet flow rate, and feed concentration, for a certain chemical reactor with a SISO feedback linearizing controller under constraints on control input is presented. In these relatively wide regions, the feedback linearizing controller is able to stabilize reactor temperature at a set point with good performance despite constraints on the coolant temperature.",a simple methodology to determine the extent of workable regions of disturbance variables ie feed temperature inlet flow rate and feed concentration for a certain chemical reactor with a siso feedback linearizing controller under constraints on control input is presented in these relatively wide regions the feedback linearizing controller is able to stabilize reactor temperature at a set point with good performance despite constraints on the coolant temperature,cs.SY
49,"We discuss a set of metrics, which aim to facilitate the formation of symbol groups from a pseudoergodic information source. An optimal codification can then be applied on the symbols (such as Huffman Codes by S. JR Pierce (1980)) for aero memory sources where it tends to the theoretical limit of compression limited by the entropy. These metrics can be used as a fitness measure of the individuals in the Vasconcelos genetic algorithm as an alternative to exhaustive search.",we discuss a set of metrics which aim to facilitate the formation of symbol groups from a pseudoergodic information source an optimal codification can then be applied on the symbols such as huffman codes by s jr pierce for aero memory sources where it tends to the theoretical limit of compression limited by the entropy these metrics can be used as a fitness measure of the individuals in the vasconcelos genetic algorithm as an alternative to exhaustive search,cs.IT
50,"In this note we present our most recent advances in the automatic design of artificial neural networks (ANNs) and associative memories (AMs) for pattern classification and pattern recall. Particle Swarm Optimization (PSO), Differential Evolution (DE), and Artificial Bee Colony (ABC) algorithms are used for ANNs; Genetic Programming is adopted for AMs. The derived ANNs and AMs are tested with several examples of well-known databases. As we will show, results are very promising.",in this note we present our most recent advances in the automatic design of artificial neural networks anns and associative memories ams for pattern classification and pattern recall particle swarm optimization pso differential evolution de and artificial bee colony abc algorithms are used for anns genetic programming is adopted for ams the derived anns and ams are tested with several examples of wellknown databases as we will show results are very promising,cs.AI
51,"A reduced MHD fluid model for the unstable toroidicity-induced shear Alfvén eigenmode (TAE) is described. This consists of four coupled time evolution equations for the poloidal magnetic flux, toroidal component of vorticity, energetic particle density and parallel flow velocity, which are solved numerically using the three-dimensional initial value code FAR in toroidal geometry. The TAE mode is readily excited and exhibits similar scalings as have been predicted analytically.",a reduced mhd fluid model for the unstable toroidicityinduced shear alfvn eigenmode tae is described this consists of four coupled time evolution equations for the poloidal magnetic flux toroidal component of vorticity energetic particle density and parallel flow velocity which are solved numerically using the threedimensional initial value code far in toroidal geometry the tae mode is readily excited and exhibits similar scalings as have been predicted analytically,cs.NA
52,"This project implements an affective-motivational structure tied to a teaching-learning process. The implementation is accomplished through the artificial intelligence technique known as fuzzy cognitive maps. The theories on which the structure is based are the emotional theory of the authors, Ortony, Clore, and Collins, better known as the OCC theory; and motivational theory. The project’s contribution is in the area of affective computing, a branch of artificial intelligence.",this project implements an affectivemotivational structure tied to a teachinglearning process the implementation is accomplished through the artificial intelligence technique known as fuzzy cognitive maps the theories on which the structure is based are the emotional theory of the authors ortony clore and collins better known as the occ theory and motivational theory the projects contribution is in the area of affective computing a branch of artificial intelligence,cs.AI
53,"The mixed postman problem consists of finding a minimum cost tour of a mixed graph traversing all its vertices, edges, and arcs at least once. We consider the variant of the mixed postman problem where all arcs must be traversed exactly once. We prove that the decision version of this problem is NP-complete. We give an integer programming formulation of this problem and we prove that one of its linear relaxations defines an integral polyhedron and can be solved in polynomial time.",the mixed postman problem consists of finding a minimum cost tour of a mixed graph traversing all its vertices edges and arcs at least once we consider the variant of the mixed postman problem where all arcs must be traversed exactly once we prove that the decision version of this problem is npcomplete we give an integer programming formulation of this problem and we prove that one of its linear relaxations defines an integral polyhedron and can be solved in polynomial time,cs.DS
54,"The Street sweeping problem (SSP) is a variation of the Windy postman problem (WPP) in which we must construct two tours traversing every edge, and each edge must be traversed once in each direction: one on the first tour and the opposite in the second tour. The computational complexity of this problem remains open. We present a (3/2 α + 1)-approximation algorithm for the SSP using an α-approximation algorithm for the WPP. We also present exact algorithms for some classes of graphs.",the street sweeping problem ssp is a variation of the windy postman problem wpp in which we must construct two tours traversing every edge and each edge must be traversed once in each direction one on the first tour and the opposite in the second tour the computational complexity of this problem remains open we present a approximation algorithm for the ssp using an approximation algorithm for the wpp we also present exact algorithms for some classes of graphs,cs.DS
55,"The mixed postman problem consists of finding a minimum cost tour of a connected mixed graph traversing all its vertices, edges, and arcs at least once. We consider the variant of the mixed postman problem where all edges must be traversed exactly once. The feasibility version of this problem is NP-complete. We introduce an infinite class of necessary conditions for feasibility, which we conjecture are also sufficient. We prove that no finite subset of these conditions is sufficient.",the mixed postman problem consists of finding a minimum cost tour of a connected mixed graph traversing all its vertices edges and arcs at least once we consider the variant of the mixed postman problem where all edges must be traversed exactly once the feasibility version of this problem is npcomplete we introduce an infinite class of necessary conditions for feasibility which we conjecture are also sufficient we prove that no finite subset of these conditions is sufficient,cs.DS
56,"In this paper is discussed a simulation method developed by S. Asmussen called conjugate processes which is based on a version of Wald’s fundamental identity. With this method it is possible to simulate within finite time risk reserve processes with infinite time horizons. This allows us to construct Monte Carlo estimators for the ruin probability, which is one of the main problems in insurance risk theory. Some examples of the Poisson/Exponential and Poisson/Uniform cases are presented.",in this paper is discussed a simulation method developed by s asmussen called conjugate processes which is based on a version of walds fundamental identity with this method it is possible to simulate within finite time risk reserve processes with infinite time horizons this allows us to construct monte carlo estimators for the ruin probability which is one of the main problems in insurance risk theory some examples of the poissonexponential and poissonuniform cases are presented,cs.NA
